panel,candidate_id,round_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,source_concept,round_number,phase,provenance,series,formulation_id,value,lower,upper,count_pass,count_fail
viability_prediction,retest_v2_75d69addc009,ROUND_003,29.24575715487311,34.5,0.9991394709236764,5.254242845126889,,,3.9166267260208114,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000002,ROUND_003,59.625548284101335,65.0,9.520940751078903,5.374451715898665,,,37.3220877442293,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001256,ROUND_003,58.724742992940016,29.0,24.187978918531524,29.724742992940016,,,94.81687736064357,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000026,ROUND_003,62.813166233359446,44.5,21.785070096186512,18.313166233359446,,,85.39747477705113,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000143,ROUND_003,59.81772975597263,48.5,23.352298676726456,11.317729755972628,,,91.54101081276771,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000293,ROUND_003,71.820753280291,53.0,10.925520512478291,18.820753280291,,,42.8280404089149,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000510,ROUND_003,58.720808487471544,41.0,24.187978822516087,17.720808487471544,,,94.81687698426306,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000849,ROUND_003,58.93019509730977,38.0,24.16077166458678,20.93019509730977,,,94.71022492518017,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000846,ROUND_003,58.92437007701841,38.0,24.166804376952193,20.92437007701841,,,94.7338731576526,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001346,ROUND_003,58.9187602099713,36.0,24.164943773185,22.918760209971303,,,94.72657959088521,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001770,ROUND_003,58.91497503925672,38.5,24.168569469864593,20.414975039256717,,,94.74079232186921,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001847,ROUND_003,58.72481704977869,52.0,24.18797891866367,6.724817049778693,,,94.81687736116159,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000013,ROUND_004,46.80008917114565,32.885,23.095514996704072,13.915089171145652,,,90.53441878707996,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000016,ROUND_004,44.952131527292465,58.35000000000001,5.0664427436755295,13.397868472707543,,,19.860455555208077,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000637,ROUND_004,76.54205208741212,50.515,9.885163840791698,26.027052087412116,,,38.74984225590345,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000374,ROUND_004,72.54485407581217,50.6025,15.37535482335997,21.94235407581217,,,60.27139090757108,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000113,ROUND_004,64.03442627824809,52.88250000000001,18.863137933937843,11.151926278248084,,,73.94350070103634,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000708,ROUND_004,58.75409897162861,28.365,23.046276903959168,30.38909897162861,,,90.34140546351993,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000776,ROUND_004,58.77957479919056,35.825,23.980608131410815,22.95457479919056,,,94.00398387513039,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001804,ROUND_004,61.259400717629525,10.1075,22.681527140037726,51.15190071762952,,,88.91158638894788,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001254,ROUND_004,60.70502243687755,0.69,23.12024088265788,60.01502243687755,,,90.63134426001888,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001144,ROUND_004,60.223399208893625,40.4675,23.426055547128605,19.755899208893624,,,91.83013774474414,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000866,ROUND_004,60.54920868100531,30.2175,22.335355531590707,30.33170868100531,,,87.55459368383558,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001721,ROUND_004,59.675896243424894,1.3325,23.692256077157737,58.34339624342489,,,92.87364382245832,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000003,ROUND_005,59.502151753493344,53.3425,7.003852076147249,6.159651753493343,,,27.455100138497215,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000001,ROUND_005,40.16970249195592,9.2925,12.393000906289316,30.877202491955916,,,48.58056355265412,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000731,ROUND_005,68.46280394716243,59.182500000000005,7.843378514314983,9.280303947162423,,,30.746043776114732,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000302,ROUND_005,56.99243953767547,1.3650000000000002,24.26243253904828,55.62743953767547,,,95.10873555306925,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000137,ROUND_005,55.5562245742118,22.145000000000003,24.210561114517585,33.41122457421179,,,94.90539956890893,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000566,ROUND_005,63.20929464398577,48.3325,13.527834211553865,14.876794643985775,,,53.029110109291146,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000268,ROUND_005,55.97962349248062,19.355,23.796093807439593,36.62462349248062,,,93.2806877251632,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000806,ROUND_005,57.30696101641415,31.85,24.28745112122454,25.456961016414148,,,95.20680839520018,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000807,ROUND_005,57.30696101641415,25.5225,24.28745112122454,31.78446101641415,,,95.20680839520018,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000810,ROUND_005,57.30696101641415,6.93,24.28745112122454,50.37696101641415,,,95.20680839520018,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001520,ROUND_005,57.30696101641415,31.494999999999997,24.28745112122454,25.811961016414152,,,95.20680839520018,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001526,ROUND_005,57.30696101641415,11.912499999999998,24.28745112122454,45.394461016414155,,,95.20680839520018,,,,surrogate_trust,,,,,,,,,,
viability_prediction,retest_v2_88865d95334d,ROUND_006,1.4444992067671194,15.755,0.9988972145863833,14.31050079323288,,,3.915677081178622,,,,surrogate_trust,,,,,,,,,,
viability_prediction,retest_v2_d9aaefea702e,ROUND_006,9.468709286190595,28.4675,0.996690962070636,18.99879071380941,,,3.9070285713168933,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000009,ROUND_006,65.12864501919591,48.99250000000001,11.04426839504023,16.136145019195908,,,43.293532108557706,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000026,ROUND_006,66.33954348174896,53.712500000000006,3.091048919113526,12.627043481748956,,,12.116911762925021,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000388,ROUND_006,56.078633246607154,40.6125,24.71787912821978,15.466133246607155,,,96.89408618262154,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000599,ROUND_006,53.71104413417668,6.817499999999999,24.59404247216249,46.89354413417668,,,96.40864649087695,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000452,ROUND_006,66.59621942113174,40.18,5.566915856512772,26.416219421131736,,,21.822310157530065,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001218,ROUND_006,54.51751704270245,24.755000000000003,24.68740406206245,29.76251704270245,,,96.77462392328479,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000842,ROUND_006,56.298833180708186,8.025,24.71832313295539,48.27383318070819,,,96.89582668118513,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000858,ROUND_006,56.298833180708186,10.6,24.71832313295539,45.698833180708185,,,96.89582668118513,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001700,ROUND_006,56.29883318067364,8.125,24.71832313295539,48.17383318067364,,,96.89582668118513,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001749,ROUND_006,56.29510059337852,10.96,24.71832306905,45.33510059337852,,,96.895826430676,,,,surrogate_trust,,,,,,,,,,
viability_prediction,retest_v2_6fb2fa9dc5d5,ROUND_007,57.35519035795547,49.370000000000005,0.976564839353124,7.985190357955467,,,3.828134170264246,,,,surrogate_trust,,,,,,,,,,
viability_prediction,retest_v2_e579d58c9088,ROUND_007,8.199635037081883,13.4225,0.9992085075820124,5.222864962918116,,,3.9168973497214887,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000002,ROUND_007,24.045745669093986,24.2275,7.8081176210390115,0.1817543309060134,,,30.607821074472923,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000005,ROUND_007,16.3855151477282,21.47,5.704083126348067,5.0844848522718,,,22.36000585528442,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000497,ROUND_007,72.85715982015662,48.9975,5.9533368640388895,23.859659820156622,,,23.337080507032447,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000249,ROUND_007,53.46533855803599,50.095,25.010699673369164,3.3703385580359893,,,98.04194271960712,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000331,ROUND_007,63.3870256023835,57.5075,11.763423399579231,5.879525602383502,,,46.11261972635059,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001166,ROUND_007,55.29184909143825,12.6675,25.11907820259103,42.62434909143825,,,98.46678655415684,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000813,ROUND_007,55.2919621749409,8.127500000000001,25.11907820264258,47.164462174940894,,,98.46678655435892,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001453,ROUND_007,55.291873173485136,13.4975,25.119078202614,41.79437317348514,,,98.46678655424687,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001508,ROUND_007,55.27171453577056,21.485,25.119074167629854,33.786714535770564,,,98.46677073710903,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001571,ROUND_007,55.2919621749409,5.9925,25.11907820264258,49.2994621749409,,,98.46678655435892,,,,surrogate_trust,,,,,,,,,,
viability_prediction,retest_v2_6f20e63adb1d,ROUND_008,49.67163459702838,26.3825,0.9858502233274996,23.28913459702838,,,3.8645328754437984,,,,surrogate_trust,,,,,,,,,,
viability_prediction,retest_v2_445849cbfa02,ROUND_008,11.027258208389108,23.5725,0.9992257742484612,12.54524179161089,,,3.9169650350539675,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001167,ROUND_008,54.413487836780696,12.9175,25.397963908230043,41.4959878367807,,,99.56001852026176,,,,surrogate_trust,,,,,,,,,,
viability_prediction,rescue_000011,ROUND_008,48.081744403450195,33.555,4.13793958869859,14.526744403450197,,,16.22072318769847,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000622,ROUND_008,69.41114521114275,31.5375,7.573428067923968,37.87364521114275,,,29.687838026261954,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000478,ROUND_008,80.03782486107272,41.41,9.383138294084668,38.62782486107272,,,36.7819021128119,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_000288,ROUND_008,54.27172123097489,4.4799999999999995,25.39784569549532,49.79172123097489,,,99.55955512634165,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001095,ROUND_008,54.42351801045155,2.9275,25.39796432617976,51.49601801045155,,,99.56002015862465,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001278,ROUND_008,54.421826079702186,16.355,25.397964309010785,38.06682607970218,,,99.56002009132227,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001305,ROUND_008,54.41942753790494,24.25,25.3979642409787,30.169427537904937,,,99.5600198246365,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001647,ROUND_008,54.41709605547173,18.295,25.397964117067037,36.12209605547173,,,99.56001933890278,,,,surrogate_trust,,,,,,,,,,
viability_prediction,cand_001652,ROUND_008,54.39995865017594,9.4125,25.397953197437612,44.98745865017594,,,99.55997653395544,,,,surrogate_trust,,,,,,,,,,
coverage,,FORMAL_COHORT,,,,,0.5,0.125,24.058614737232617,0.06717708293105555,0.22081262192749168,,surrogate_trust,,,,,,,,,,
coverage,,FORMAL_COHORT,,,,,0.68,0.2638888888888889,35.47167184911555,0.17593641596552728,0.37576080561207664,,surrogate_trust,,,,,,,,,,
coverage,,FORMAL_COHORT,,,,,0.8,0.3611111111111111,45.7121184901202,0.25981514475687584,0.4764773385240676,,surrogate_trust,,,,,,,,,,
coverage,,FORMAL_COHORT,,,,,0.9,0.5138888888888888,58.67086890269411,0.40069555910198956,0.625675192569916,,surrogate_trust,,,,,,,,,,
coverage,,FORMAL_COHORT,,,,,0.95,0.6666666666666666,69.91065229559428,0.5517938807199863,0.7646551393428815,,surrogate_trust,,,,,,,,,,
intact_probability,retest_v2_75d69addc009,ROUND_003,0.455725392125923,,,,,,,,,1.0,surrogate_trust,,,,,,,,,,
intact_probability,rescue_000002,ROUND_003,0.5498840382139313,,,,,,,,,1.0,surrogate_trust,,,,,,,,,,
intact_probability,cand_001256,ROUND_003,0.389155289964007,,,,,,,,,1.0,surrogate_trust,,,,,,,,,,
intact_probability,cand_000026,ROUND_003,0.4022274037805889,,,,,,,,,0.0,surrogate_trust,,,,,,,,,,
intact_probability,cand_000143,ROUND_003,0.6482014342566541,,,,,,,,,0.0,surrogate_trust,,,,,,,,,,
intact_probability,cand_000293,ROUND_003,0.7023796226029612,,,,,,,,,0.0,surrogate_trust,,,,,,,,,,
intact_probability,cand_000510,ROUND_003,0.3309903543233221,,,,,,,,,0.0,surrogate_trust,,,,,,,,,,
intact_probability,cand_000849,ROUND_003,0.7134560420549231,,,,,,,,,1.0,surrogate_trust,,,,,,,,,,
