endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error,panel
viability_percent,legacy_lit_13,legacy_literature,86.8,51.29948356632597,11.209709035722014,35.50051643367403,1260.2866670575595,all_cv
viability_percent,legacy_lit_15,legacy_literature,89.8,36.678324738792895,17.917430209719296,53.1216752612071,2821.912382557143,all_cv
viability_percent,legacy_lit_22,legacy_literature,82.25,58.06930626163393,3.596805850686126,24.180693738366067,584.7059496686559,all_cv
viability_percent,legacy_lit_32,legacy_literature,20.0,51.29948356632597,11.209709035722014,31.299483566325968,979.6576715187092,all_cv
viability_percent,legacy_lit_33,legacy_literature,22.0,54.21091960917417,11.200236581082336,32.21091960917417,1037.543342068681,all_cv
viability_percent,legacy_lit_35,legacy_literature,80.0,58.06930626163393,3.596805850686126,21.930693738366067,480.95532784600863,all_cv
viability_percent,legacy_lit_38,legacy_literature,100.0,73.72850137908134,13.868876331051425,26.271498620918663,690.1916397889312,all_cv
viability_percent,legacy_lit_41,legacy_literature,51.5,44.53706689506337,22.03550184922741,6.962933104936631,48.48243742382248,all_cv
viability_percent,legacy_lit_47,legacy_literature,68.0,58.27154838187147,21.338384478189894,9.728451618128531,94.64277088626764,all_cv
viability_percent,legacy_lit_51,legacy_literature,64.1,55.259291027524384,25.16306124538626,8.84070897247561,78.15813513601077,all_cv
viability_percent,legacy_lit_56,legacy_literature,63.333333333333336,50.75818029785949,16.72295657114493,12.575153035473846,158.1344738655871,all_cv
viability_percent,legacy_lit_63,legacy_literature,80.0,71.68897300039906,13.351036328674464,8.31102699960094,69.07316978809581,all_cv
viability_percent,legacy_lit_76,legacy_literature,21.0,39.31743938083519,16.590616097127203,18.31743938083519,335.52858547057184,all_cv
viability_percent,legacy_lit_84,legacy_literature,82.5,55.66113980882627,25.22319933425911,26.83886019117373,720.3244163613699,all_cv
viability_percent,legacy_lit_89,legacy_literature,55.5,55.08547420601918,23.28697252584658,0.4145257939808218,0.1718316338754307,all_cv
viability_percent,legacy_lit_93,legacy_literature,61.8,54.49791420809047,25.225263401759715,7.302085791909526,53.320456912406975,all_cv
viability_percent,legacy_lit_98,legacy_literature,72.5,52.747080336830145,24.92330745446847,19.752919663169855,390.1778352196423,all_cv
viability_percent,legacy_lit_104,legacy_literature,67.0,38.897295788089096,6.571508249460068,28.102704211910904,789.7619840221548,all_cv
viability_percent,legacy_lit_116,legacy_literature,85.6,73.72850137908134,13.868876331051425,11.871498620918658,140.93247950647358,all_cv
viability_percent,legacy_lit_121,legacy_literature,79.8,53.97729455218104,25.284918192821173,25.82270544781896,666.8121166448191,all_cv
viability_percent,legacy_lit_134,legacy_literature,73.0,36.273950337545386,11.90107069297686,36.726049662454614,1348.8027238090826,all_cv
