recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,1.0,,,89.81358215320506,15.704052984043637,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.2848122091613075,2.0070420383579592,5.427167213024573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.8mM ectoin + 2.01M ethylene_glycol + 5.4% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,5.0,,,88.80919383507762,15.592725670296357,0.0,0.0,0.21366401558687437,4,0.0,0.0,0.0,0.0300819681486704,0.285833236176111,1.9011182940097373,4.615317723947846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1mM dmso + 285.8mM ectoin + 1.90M ethylene_glycol + 4.6% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,6.0,,,88.31546131358314,15.984667857380872,0.0,0.0,0.043098364062305244,4,0.0,0.0,0.0,0.0060678613168483,0.2648308684413578,1.9665745523107525,5.355658144993131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1mM dmso + 264.8mM ectoin + 1.97M ethylene_glycol + 5.4% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,10.0,,,87.84854632766182,15.814741948722787,0.0,0.0,0.27821703531416586,4,0.0,0.0,0.0,0.0391704516633281,0.2866401766767145,1.9023424962503608,4.549627367491686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2mM dmso + 286.6mM ectoin + 1.90M ethylene_glycol + 4.5% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,8.0,,,88.15526511720026,16.547205233743796,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.2905114542074327,1.939219550803373,5.3057380570308075,0.0,0.0,0.0,0.0,0.0,0.0,0.2072085603809582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.5mM ectoin + 1.94M ethylene_glycol + 5.3% fbs + 0.2% methylcellulose,Top BO exploitation candidate with strong predicted viability.
exploit,6,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,9.0,,,87.92892931933868,16.042628555853142,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.2687852461611,1.8174739495514591,8.078606617196703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.8mM ectoin + 1.82M ethylene_glycol + 8.1% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,7,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,11.0,,,87.79934129093864,15.83817484807042,0.0,0.0,0.12046372538662425,4,0.0,0.0,0.0,0.0169602070811835,0.3031847467490622,2.098320161453337,2.654557970947935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0mM dmso + 303.2mM ectoin + 2.10M ethylene_glycol + 2.7% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,8,bo_candidate,bo_candidates_dmso_free_iteration_7_prior_mean.csv,13.0,,,87.09116455485712,16.09099071883333,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.3134552500635348,2.1456177748340215,2.7244475669738804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.5mM ectoin + 2.15M ethylene_glycol + 2.7% fbs,Top BO exploitation candidate with strong predicted viability.
explore,1,local_rank_probe,bo_candidates_dmso_free_iteration_7_prior_mean.csv,1.0,7.0,,88.9353031840802,15.465181991807315,5.603832869046666,0.03942616771917847,0.0,3,0.0,0.0,0.0,0.0,0.2848122091613075,1.8063378345221635,4.884450491722116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.8mM ectoin + 1.81M ethylene_glycol + 4.9% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_7_prior_mean.csv rank 1; scaled fbs + ethylene_glycol down by 10%.
explore,2,local_rank_probe,bo_candidates_dmso_free_iteration_7_prior_mean.csv,1.0,7.0,,84.81276577194112,16.495541525158412,5.603832869046666,0.03942616771917847,0.0,3,0.0,0.0,0.0,0.0,0.2848122091613075,2.2077462421937555,5.969883934327031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.8mM ectoin + 2.21M ethylene_glycol + 6.0% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_7_prior_mean.csv rank 1; scaled fbs + ethylene_glycol up by 10%.
explore,3,local_rank_probe,bo_candidates_dmso_free_iteration_7_prior_mean.csv,5.0,7.0,,84.95217067160732,15.647899246024114,5.533775296393232,0.044121386906016885,0.21366401558687437,4,0.0,0.0,0.0,0.0300819681486704,0.285833236176111,1.7110064646087637,4.153785951553061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1mM dmso + 285.8mM ectoin + 1.71M ethylene_glycol + 4.2% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_7_prior_mean.csv rank 5; scaled fbs + ethylene_glycol down by 10%.
explore,4,local_rank_probe,bo_candidates_dmso_free_iteration_7_prior_mean.csv,5.0,7.0,,86.71333345033169,15.85932565230837,5.533775296393232,0.044121386906016885,0.21366401558687437,4,0.0,0.0,0.0,0.0300819681486704,0.285833236176111,2.0912301234107114,5.076849496342631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1mM dmso + 285.8mM ectoin + 2.09M ethylene_glycol + 5.1% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_7_prior_mean.csv rank 5; scaled fbs + ethylene_glycol up by 10%.
explore,5,local_rank_probe,bo_candidates_dmso_free_iteration_7_prior_mean.csv,6.0,7.0,,86.84007977998266,15.684814976466303,5.533775296393232,0.044121386906016885,0.043098364062305244,4,0.0,0.0,0.0,0.0060678613168483,0.2648308684413578,1.7699170970796774,4.820092330493818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1mM dmso + 264.8mM ectoin + 1.77M ethylene_glycol + 4.8% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_7_prior_mean.csv rank 6; scaled fbs + ethylene_glycol down by 10%.
explore,6,local_rank_probe,bo_candidates_dmso_free_iteration_7_prior_mean.csv,6.0,7.0,,84.24859411076619,16.81373595758281,5.533775296393232,0.044121386906016885,0.043098364062305244,4,0.0,0.0,0.0,0.0060678613168483,0.2648308684413578,2.163232007541828,5.891223959492445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1mM dmso + 264.8mM ectoin + 2.16M ethylene_glycol + 5.9% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_7_prior_mean.csv rank 6; scaled fbs + ethylene_glycol up by 10%.
