batch_size,selection_order,recommendation_id,recommendation_type,origin,bucket_rank,predicted_viability,uncertainty,batch_utility,formulation
6,1,1,exploit,bo_candidate,1,76.59732645998031,14.434269254600522,0.8711903454129369,337.9mM ectoin + 1.91M ethylene_glycol + 6.6% fbs + 0.2% methylcellulose
6,2,2,exploit,bo_candidate,2,76.38745064067663,14.159110740277082,0.8737753086179938,15.8mM dmso + 344.7mM ectoin + 1.91M ethylene_glycol + 6.1% fbs
6,3,9,explore,local_rank_probe,2,74.25493765183822,14.592395952770277,0.5763795946622577,337.9mM ectoin + 2.11M ethylene_glycol + 7.3% fbs + 0.2% methylcellulose
6,4,14,explore,local_rank_probe,7,73.59963679761697,14.785234117599249,0.575891392430413,331.4mM ectoin + 1.70M ethylene_glycol + 6.0% fbs + 0.3% methylcellulose
6,5,17,explore,blindspot_probe,10,43.692469303620854,21.182197813588704,0.4956811827711918,1.53M ethylene_glycol + 33.9% fbs + 1.4% hsa + 2.7% peg_3350 + 149.5mM proline + 7.2% pvp
6,6,19,explore,blindspot_probe,12,56.73461708673789,13.553561744862305,0.46606872164585084,704.0mM dmso + 125.0mM sucrose
7,1,1,exploit,bo_candidate,1,76.59732645998031,14.434269254600522,0.8711903454129369,337.9mM ectoin + 1.91M ethylene_glycol + 6.6% fbs + 0.2% methylcellulose
7,2,2,exploit,bo_candidate,2,76.38745064067663,14.159110740277082,0.8737753086179938,15.8mM dmso + 344.7mM ectoin + 1.91M ethylene_glycol + 6.1% fbs
7,3,9,explore,local_rank_probe,2,74.25493765183822,14.592395952770277,0.5763795946622577,337.9mM ectoin + 2.11M ethylene_glycol + 7.3% fbs + 0.2% methylcellulose
7,4,14,explore,local_rank_probe,7,73.59963679761697,14.785234117599249,0.575891392430413,331.4mM ectoin + 1.70M ethylene_glycol + 6.0% fbs + 0.3% methylcellulose
