round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_011eef292ff1,31.85,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_117f554a123f,11.912499999999998,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_1be28fc1c3ad,53.3425,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_40e9f706b46d,19.355,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_5526047f869b,25.5225,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_711df1b41503,48.3325,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_79ec2bf8acae,31.494999999999997,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_88865d95334d,1.3650000000000002,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_c52464fe22c3,6.93,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d9aaefea702e,9.2925,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_f1b5aed4af5a,22.145000000000003,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_f3bcb989040c,59.182500000000005,,,,
ROUND_005,5,screening_only,formal_frozen,observed_viability,median_iqr,,23.833750000000002,11.257499999999999,35.970625,,
ROUND_005,5,screening_only,formal_frozen,prospective_performance,mae,,30.473503793586342,,,,
ROUND_005,5,screening_only,formal_frozen,prospective_performance,bias,,30.473503793586342,,,,
ROUND_005,5,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.75,,,,
ROUND_005,5,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.75,0.46768966087934005,0.9110599603710386,9.0,3.0
ROUND_005,5,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,
