feature,importance
ectoin,1.1387421616252622
ethylene_glycol,1.0961938903294333
dmso,0.41861435080323584
pvp,0.14930303936295686
fbs,0.13620128855686897
hsa,0.13145993566175385
glycerol,0.12070611907541984
human_serum,0.10389646834400135
proline,0.09748150625540875
trehalose,0.08396464128111691
hes,0.08290262776943991
dextran,0.08068071475048844
betaine,0.07206847153201346
propylene_glycol,0.06669623313278827
sucrose,0.05417221919350523
peg_3350,0.027666312924239933
methylcellulose,0.01579986162875635
hyaluronic_acid,0.007186018175139197
glucose,0.006680405335388273
creatine,0.0015326328659902577
raffinose,0.00036533282092954256
