round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_0e9e2b605ce7,50.515,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_1d06992cb257,35.825,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_1e09bd3298a1,0.69,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_4da335e6bc9d,10.1075,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6005e837cd4b,28.365,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6886b09726ac,30.2175,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6fb2fa9dc5d5,58.35000000000001,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_8d9d8b0a7098,50.6025,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_98a8e114024b,1.3325,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_ced63818bdd1,32.885,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_e5b28bf5a066,40.4675,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_eb8bb8b8618f,52.88250000000001,,,,
ROUND_004,4,screening_only,formal_frozen,observed_viability,median_iqr,,34.355000000000004,23.800624999999997,50.536875,,
ROUND_004,4,screening_only,formal_frozen,prospective_performance,mae,,29.94799092866463,,,,
ROUND_004,4,screening_only,formal_frozen,prospective_performance,bias,,27.715012849880043,,,,
ROUND_004,4,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.5833333333333334,,,,
ROUND_004,4,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.75,0.46768966087934005,0.9110599603710386,9.0,3.0
ROUND_004,4,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,
