endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error,panel,viability_r2,load_r2
viability_percent,legacy_lit_5,legacy_literature,84.5,62.94319171448257,14.622970030128888,21.556808285517427,464.6959834585528,all_cv,,
viability_percent,legacy_lit_12,legacy_literature,95.2,69.66380865730434,17.434654560402727,25.53619134269566,652.0970682907647,all_cv,,
viability_percent,legacy_lit_19,legacy_literature,92.35,35.67926250110063,12.237710312181632,56.67073749889936,3211.5724886691587,all_cv,,
viability_percent,legacy_lit_37,legacy_literature,100.0,67.26307910349755,6.998880543184802,32.736920896502454,1071.705989783859,all_cv,,
viability_percent,legacy_lit_39,legacy_literature,80.0,73.82457286176813,10.441725088097185,6.175427138231868,38.13590033961064,all_cv,,
viability_percent,legacy_lit_45,legacy_literature,28.0,54.9059000033804,19.302525990169745,26.905900003380403,723.9274549919055,all_cv,,
viability_percent,legacy_lit_54,legacy_literature,65.0,35.38875364218518,6.201626917120245,29.61124635781482,876.8259108632014,all_cv,,
viability_percent,legacy_lit_59,legacy_literature,77.0,49.58665496684652,22.347559098686663,27.413345033153483,751.4914859067208,all_cv,,
viability_percent,legacy_lit_68,legacy_literature,74.0,37.030539075192955,13.403468350399605,36.969460924807045,1366.7410410708349,all_cv,,
viability_percent,legacy_lit_74,legacy_literature,78.0,49.87220716888783,23.895851217017956,28.127792831112167,791.172729549965,all_cv,,
viability_percent,legacy_lit_79,legacy_literature,38.0,43.48969419274972,21.221935623072287,5.489694192749717,30.136742329909964,all_cv,,
viability_percent,legacy_lit_87,legacy_literature,49.3,25.268350007904264,15.374663048472156,24.031649992095733,577.5202013425949,all_cv,,
viability_percent,legacy_lit_91,legacy_literature,53.2,48.47081113171715,24.23083500246156,4.729188868282847,22.365227351890397,all_cv,,
viability_percent,legacy_lit_96,legacy_literature,64.3,53.053403001833814,23.28246346128916,11.246596998166185,126.4859440391606,all_cv,,
viability_percent,legacy_lit_102,legacy_literature,43.0,35.38430375987273,6.233720621871327,7.615696240127271,57.99882922188865,all_cv,,
viability_percent,legacy_lit_114,legacy_literature,87.56,54.40717121165261,4.488726145113001,33.15282878834739,1099.1100566694756,all_cv,,
viability_percent,legacy_lit_128,legacy_literature,80.0,50.286080634391745,4.15769364941439,29.713919365608255,882.9170040658693,all_cv,,
viability_percent,legacy_lit_132,legacy_literature,38.0,38.17673978657656,6.0510256805684355,0.1767397865765616,0.0312369521591285,all_cv,,
viability_percent,legacy_lit_137,legacy_literature,70.0,49.81476703962901,17.504905226931413,20.185232960370996,407.44362966444766,all_cv,,
viability_percent,legacy_lit_198,legacy_literature,86.0,35.38741152196842,6.208130909278844,50.61258847803158,2561.6341124465753,all_cv,,
viability_percent,legacy_lit_202,legacy_literature,65.0,76.37074106054206,11.795558509005874,11.37074106054206,129.29375226589715,all_cv,,
viability_percent,legacy_lit_207,legacy_literature,70.0,52.55286016265923,17.198099740206345,17.44713983734077,304.40268850372337,all_cv,,
viability_percent,legacy_lit_215,legacy_literature,78.33333333333333,38.05335991404689,20.163100576650045,40.27997341928644,1622.4762586584222,all_cv,,
viability_percent,legacy_lit_225,legacy_literature,38.0,37.5553449659747,17.540868075817283,0.4446550340253026,0.197718099284043,all_cv,,
viability_percent,legacy_lit_252,legacy_literature,17.0,31.486118019092675,11.175511139509725,14.486118019092675,209.8476152630815,all_cv,,
