round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_19eed4dca0d3,35.84,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_21a3a498433e,36.22,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_237544a25f30,69.21,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_2eead01c8392,60.53,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_49123b81735d,40.44,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_4a0cb1ead8d1,60.33,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_6b7389efb1b5,35.92,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_a2b4c2d7b0b6,24.39,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_a803deb82ca6,28.72,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_b9ae21107fa4,15.93,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_da5df4899b60,43.34,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,individual_formulation,v2_e0e6b16a3f20,26.53,,,,
ROUND_001,1,screening_only,reconstructed,observed_viability,median_iqr,,36.07,28.1725,47.587500000000006,,
ROUND_001,1,screening_only,reconstructed,prospective_performance,mae,,21.38945887553776,,,,
ROUND_001,1,screening_only,reconstructed,prospective_performance,bias,,21.18889174686328,,,,
ROUND_001,1,screening_only,reconstructed,prospective_performance,interval_95_coverage,,1.0,,,,
ROUND_001,1,screening_only,reconstructed,feasibility_mechanics,intact_pass_proportion,,0.08333333333333333,0.014864709450773478,0.35388592179859524,1.0,11.0
ROUND_001,1,screening_only,reconstructed,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,
