recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,1.0,,,75.37663771182562,16.59728993312071,0.0,0.0,0.0719219793274276,6,0.0,0.0,0.0002956035247735,0.0101259666274376,0.2896512198192055,1.7938668957931794,5.584348291962391,0.0,0.0,0.0,0.4715870681883606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0% dextran + 10.1mM dmso + 289.7mM ectoin + 1.79M ethylene_glycol + 5.6% fbs + 0.5% hsa,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,3.0,,,74.59074072763872,16.69338256831288,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.3047,1.83,7.591115290448826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.7mM ectoin + 1.83M ethylene_glycol + 7.6% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,4.0,,,74.47341240771576,16.6690520297272,0.0,0.0,0.1545262851333455,5,0.0,0.0,0.0,0.0217559085686266,0.2909018808698664,1.823975503224604,4.47249335545186,0.0,0.0,0.0,0.3614698065237478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8mM dmso + 290.9mM ectoin + 1.82M ethylene_glycol + 4.5% fbs + 0.4% hsa,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,9.0,,,72.88751182782124,16.295665599897816,0.0,0.0,0.1906757645393928,4,0.0,0.0,0.0,0.0268454295396559,0.299964345900692,1.820892972885946,1.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8mM dmso + 300.0mM ectoin + 1.82M ethylene_glycol + 1.4% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,9.0,,,71.91254732234549,15.964878155497091,0.0,0.0,5.0,1,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0mM dmso,Top BO exploitation candidate with strong predicted viability.
exploit,6,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,11.0,,,71.42890475197015,15.987299848878498,0.0,0.0,5.0,2,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0mM dmso + 2.0% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,7,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,8.0,,,73.1711098016319,17.032458838589204,0.0,0.0,0.250494971503494,6,0.0,0.0,0.0,0.0352674348718601,0.2941883407363058,1.829949440631272,4.367861243501085,0.0,0.0,0.0,0.4014436103927112,0.0,0.0,0.0005786286255875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3mM dmso + 294.2mM ectoin + 1.83M ethylene_glycol + 4.4% fbs + 0.4% hsa + 0.0% methylcellulose,Top BO exploitation candidate with strong predicted viability.
exploit,8,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,6.0,,,73.26317433233996,17.188440230433372,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.2899576044602957,1.7513414782834178,0.4615835837570293,0.0,0.0,0.0,0.707704003623563,0.0,0.0,0.1873287043171919,0.0160260220163807,0.0,0.0,0.0,0.0,0.0,0.0,290.0mM ectoin + 1.75M ethylene_glycol + 0.5% fbs + 0.7% hsa + 0.2% methylcellulose + 0.0% peg_3350,Top BO exploitation candidate with strong predicted viability.
exploit,9,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,4.0,,,73.22728234367548,17.183008552321265,0.0,0.0,0.0,6,0.0,0.0,0.0002748776347375,0.0,0.3041473416357317,1.855738073533667,3.009177813889171,0.0,0.0,0.0,0.2100121100584082,0.0,0.0,0.2567459397499161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0% dextran + 304.1mM ectoin + 1.86M ethylene_glycol + 3.0% fbs + 0.2% hsa + 0.3% methylcellulose,Top BO exploitation candidate with strong predicted viability.
exploit,10,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,6.0,,,73.06954192229874,17.381453986775266,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.2860625865409014,1.6275765703565428,9.471427857623103,0.0,0.0,0.0,0.7527118993000945,0.0,0.0,0.0989611598889892,0.0,0.0,0.0,0.1510551381283962,0.0,0.0,0.0,286.1mM ectoin + 1.63M ethylene_glycol + 9.5% fbs + 0.8% hsa + 0.1% methylcellulose + 0.2% pvp,Top BO exploitation candidate with strong predicted viability.
