selection_rank,candidate_id,formulation_id,formulation_description,selection_role,recommendation_type,viability_prediction_status,public_viability_mean,public_viability_std,empirical_combination_pass_probability,support_status,candidate_origin,mechanical_test_recommended,mechanical_selection_rank,mechanical_transition_role,selection_explanation,mechanical_selection_mode,mechanical_backup_status,batch_id,replicate_id,viability_percent,intact_patch_formation_pass,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,preparation_feasibility_pass,homogeneous_solution_pass,fillability_pass,preparation_failure_reason,notes,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,rescue_scale_factor,rescue_anchor_formulation_id,rescue_anchor_viability_percent,active_polymer_count,total_polymer_pct,total_serum_protein_pct,total_polymer_serum_pct,total_sugar_M,total_nonpermeating_solute_M,total_viscosity_active_macromolecule_pct,total_permeating_cpa_M,crystalline_solute_saturation_burden,feasibility_policy_version,estimated_small_solute_g_L,feasibility_pass,feasibility_reasons,nearest_support_distance,source,source_row_id,formulation_label,source_type,predicted_viability_percent,viability_std,viability_prediction_label,viability_prediction_reason,raw_surrogate_viability_mean,raw_surrogate_viability_std,viability_surrogate_prior_mean,viability_surrogate_prior_std,viability_prior_reversion,viability_exact_observation_count,viability_exact_batch_count,viability_exact_observed_mean,viability_exact_observed_sources,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,intact_patch_pass_probability,empirical_combination_weighted_passes,empirical_combination_weighted_failures,nearest_matching_intact_pass_distance,nearest_matching_intact_failure_distance,intact_combination_screening_penalty,intact_combination_policy_version,cold_start_ingredients,cold_start_ingredient_count,cold_start_prior_evidence_counts,cold_start_ordinary_exempt,cold_start_graduation_eligible,cold_start_graduation_priority,cold_start_graduation_reason,mechanical_feasibility_weight,same_formulation_range,local_neighbor_residual,retest_priority_score,viability_ucb,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,preparation_feasibility_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_acquisition_penalty,screening_phase_score,mechanics_phase_score,effective_intact_evidence,prior_only,mechanical_assignment,selection_reason
1,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,ectoin + ethylene glycol + FBS,round_candidate,retest_priority,observed_retest,49.67163459702838,0.9858502233274996,0.7741565415185013,in_support,retest,False,,,retest_priority: reason=high_latest_batch_replicate_sd; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=14.9; neighbor_residual=6.6; viability_std_tiebreak=1.0,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.1926978068289405,0.5834021671650074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8162824588637445,0.0,0.0,3,,,,0,0.0,5.8162824588637445,5.8162824588637445,0.0,0.1926978068289405,5.8162824588637445,0.5834021671650074,0.0481744517072351,round5_solubility_viscosity_v2,63.605692734734184,True,,0.0,,,,,49.67163459702838,0.9858502233274996,Observed formulation — retest,exact formulation has 4 viability observation(s) across 1 batch(es),49.67163459702838,0.9858502233274996,54.424324169530344,25.39796432920236,False,4,1,48.9975,wetlab_feedback,0.0,0.0,0.8067033305916466,2.9254738374766203,0.1451722488780054,0.0,0.2991897128926981,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,0.7741565415185013,0.0,6.587499999999999,1.8677488608728068,50.01668217519301,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.0834021671650073,0.1932966694083534,0.1713177689596842,0.0166804334330014,0.5765415299731336,,3.0706460863546257,False,Screen only,Repeat a tested formulation
2,retest_v2_445849cbfa02,v2_445849cbfa02,raffinose + creatine + methylcellulose,round_candidate,retest_priority,observed_retest,11.027258208389108,0.9992257742484612,0.6666666666666666,in_support,retest,False,,,retest_priority: reason=single_batch_neighbor_anomaly_confirmation; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=2.3; neighbor_residual=26.4; viability_std_tiebreak=1.0,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1902297513428384,0.0,0.0,0.0,0.0,0.0,0.0,0.0237885879605487,0.0,0.0,0.6134887395638512,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,1,0.6134887395638512,0.0,0.6134887395638512,0.1902297513428384,0.2140183393033871,0.6134887395638512,0.0,0.707246526889233,round5_solubility_viscosity_v2,116.21288701009762,True,,0.0,,,,,11.027258208389108,0.9992257742484612,Observed formulation — retest,exact formulation has 4 viability observation(s) across 1 batch(es),11.027258208389108,0.9992257742484612,54.424324169530344,25.39796432920236,False,4,1,10.96,wetlab_feedback,0.0,0.0,0.9673086942102448,1.0,0.0,0.0,,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,0.6666666666666666,0.0,26.373333333333335,1.3186666666666669,11.376987229376068,0.0,0.0,0.0,0.75,0,,0.0,0.0326913057897551,0.026153044631804,0.0,0.1335337401009285,,1.0,False,Screen only,Repeat a tested formulation
3,cand_001167,v2_4b9990641d38,taurine + betaine,round_candidate,screening_candidate,unknown_prior_reversion,,,0.5,in_support,sparse_exploration,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1842339507210597,0.0,0.0,0.2772825272208669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.4615164779419266,0.0,0.0,0.296124842559625,round5_solubility_viscosity_v2,55.54052699666518,True,,0.3901725920208009,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,54.413487836780696,25.397963908230043,54.424324169530344,25.39796432920236,True,0,0,,,0.0,0.0,0.9775254727243776,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,63.30277520466121,0.0,0.0,0.0,0.75,0,,0.0,0.0224745272756224,0.0179796218204979,0.0,0.7512837831991795,,0.0,True,Screen only,Explore ingredient combinations
4,rescue_000011,v2_cfd8fbca69e1,ectoin + ethylene glycol + FBS,round_candidate,rescue_candidate,model_supported,48.081744403450195,4.13793958869859,0.804290629189582,in_support,rescue_dilution,False,,,rescue_dilution: scaled down a high-viability failed-patch formulation,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.1601803739982161,0.5020476059873334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3,0.5,v2_27a2b16cc327,53.0,0,0.0,5.0,5.0,0.0,0.1601803739982161,5.0,0.5020476059873334,0.040045093499554,round5_solubility_viscosity_v2,53.93333687122019,True,,0.1093237148014784,,,,,48.081744403450195,4.13793958869859,Model estimate,candidate has a non-prior-reverted surrogate estimate,48.081744403450195,4.13793958869859,54.424324169530344,25.39796432920236,False,0,0,,,0.0,0.0,0.8426607630131968,3.1096173671146885,0.0,0.0631180761694434,0.3619204777504083,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,0.804290629189582,,,,49.5300232594947,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.0020476059873334,0.1573392369868032,0.1262809107869092,0.0004095211974666,0.5870227647118171,,3.1096173671146885,False,Screen only,Dilute a tested formulation
5,cand_000622,v2_b2a7d8453992,ectoin + ethylene glycol + HSA,round_candidate,screening_candidate,model_supported,69.41114521114275,7.573428067923968,0.5758801155439741,in_support,local_perturbation,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.2036144650385713,0.8662299803222541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421058324663859,0.0,3,,,,0,0.0,5.421058324663859,5.421058324663859,0.0,0.2036144650385713,5.421058324663859,0.8662299803222541,0.0509036162596428,round5_solubility_viscosity_v2,82.7127272284856,True,,0.1357492713344705,,,,,69.41114521114275,7.573428067923968,Model estimate,candidate has a non-prior-reverted surrogate estimate,69.41114521114275,7.573428067923968,54.424324169530344,25.39796432920236,False,0,0,,,0.0,0.0,0.7087675031987882,1.0687199499410145,0.5235554110287073,0.0783748783472521,0.1667556061399524,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5758801155439741,,,,72.06184503491615,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.366229980322254,0.2912324968012117,0.3062319935054202,0.0732459960644508,0.7822425758558164,,1.5922753609697218,False,Screen only,Explore near a tested formulation
6,cand_000478,v2_16ebd2e14898,DMSO + ectoin + ethylene glycol +1,round_candidate,screening_candidate,model_supported,80.03782486107272,9.383138294084668,0.6092186880383025,in_support,local_perturbation,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0280922517057138,0.1664223325605335,1.6779310097969322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.141977475564736,0.0,0.0,4,,,,0,0.0,4.141977475564736,4.141977475564736,0.0,0.1664223325605335,4.141977475564736,1.706023261502646,0.0416055831401333,round5_solubility_viscosity_v2,130.00262420066846,True,,0.259606246860399,,,,,80.03782486107272,9.383138294084668,Model estimate,candidate has a non-prior-reverted surrogate estimate,80.03782486107272,9.383138294084668,54.424324169530344,25.39796432920236,False,0,0,,,0.0,0.0,0.6936904084931093,0.5589760036887721,0.0,0.1543583987089297,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.6092186880383025,,,,83.32192326400235,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,1.1779310097969322,0.3063095915068907,0.4806338751648991,0.2355862019593864,0.7538611230686516,,0.5589760036887721,False,Screen only,Explore near a tested formulation
7,cand_000288,v2_00d4dc35ee8a,DMSO + taurine,round_candidate,screening_candidate,unknown_prior_reversion,,,0.6092396350653801,in_support,local_perturbation,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0766567668773597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2043969040689003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.2043969040689003,0.0,0.0766567668773597,0.2695497818366328,round5_solubility_viscosity_v2,31.569465740350992,True,,0.2182278422697856,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,54.27172123097489,25.39784569549532,54.424324169530344,25.39796432920236,True,0,0,,,0.0,0.0,0.9939209306112444,0.5591131796780751,0.0,0.1543103871126737,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.6092396350653801,,,,63.16096722439825,0.0,0.0,0.0,0.75,0,,0.0,0.0060790693887554,0.0048632555110043,0.0,0.7495967238528521,,0.5591131796780751,False,Screen only,Explore near a tested formulation
8,cand_001095,v2_c29d85c403ed,taurine + acetamide,round_candidate,screening_candidate,unknown_prior_reversion,,,0.5,in_support,sparse_exploration,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2121350219000281,0.0,0.0,0.0,0.0,0.0,0.0,0.2620068191842505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.4741418410842787,0.0,0.0,0.3017072890550009,round5_solubility_viscosity_v2,42.0254408000022,True,,0.4730053249709666,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,54.42351801045155,25.39796432617976,54.424324169530344,25.39796432920236,True,0,0,,,0.0,0.0,0.9973675430646288,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,63.31280552461447,0.0,0.0,0.0,0.75,0,,0.0,0.002632456935371,0.0021059655482968,0.0,0.7514031117799296,,0.0,True,Screen only,Explore ingredient combinations
9,cand_001278,v2_d2de523913b8,taurine + methylcellulose,round_candidate,screening_candidate,unknown_prior_reversion,,,0.5,in_support,sparse_exploration,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960514455328202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5935446221184634,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,1,0.5935446221184634,0.0,0.5935446221184634,0.0,0.1960514455328202,0.5935446221184634,0.0,0.2585441526761796,round5_solubility_viscosity_v2,24.535838408432458,True,,0.4288749833974206,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,54.421826079702186,25.397964309010785,54.424324169530344,25.39796432920236,True,0,0,,,0.0,0.0,0.982062016239906,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,63.31111358785596,0.0,0.0,0.0,0.75,0,,0.0,0.0179379837600941,0.0143503870080753,0.0,0.7513829831685739,,0.0,True,Screen only,Explore ingredient combinations
10,cand_001305,v2_0c1889c524b0,myo-inositol + acetamide,round_candidate,screening_candidate,unknown_prior_reversion,,,0.5,in_support,sparse_exploration,False,,,,,,ROUND_008,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2479514947397374,0.0,0.0,0.0,0.0,0.0,0.2215601019746557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.4695115967143931,0.0,0.0,0.3309476677055066,round5_solubility_viscosity_v2,57.75849651595401,True,,0.5582374544482434,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,54.41942753790494,25.3979642409787,54.424324169530344,25.39796432920236,True,0,0,,,0.0,0.0,0.9921668929223147,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,63.30871502224748,0.0,0.0,0.0,0.75,0,,0.0,0.0078331070776851,0.0062664856621481,0.0,0.7513544479442512,,0.0,True,Screen only,Explore ingredient combinations
