feature,importance
ethylene_glycol,0.8369569207433986
ectoin,0.8125713448441554
dmso,0.39625775857732903
hsa,0.220442103607571
fbs,0.20432243905439762
pvp,0.11981247962446517
hes,0.1156262474498031
trehalose,0.09220104822676167
dextran,0.08561862699526213
propylene_glycol,0.08302004374651295
proline,0.08106491137307648
human_serum,0.07903729285303895
betaine,0.07316804678508859
glycerol,0.07061905489039189
sucrose,0.05084269167116551
peg_3350,0.036420509711914795
glucose,0.025488978457990252
methylcellulose,0.017019320397899773
hyaluronic_acid,0.006373991399152401
raffinose,0.0012291912572020003
creatine,0.0005208347144056713
