round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,section,candidate_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,signed_error,batch_id,viability_percent,intact_patch_formation_pass
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_19eed4dca0d3,35.84,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_21a3a498433e,36.22,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_237544a25f30,69.21,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_2eead01c8392,60.53,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_49123b81735d,40.44,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_4a0cb1ead8d1,60.33,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_6b7389efb1b5,35.92,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_a2b4c2d7b0b6,24.39,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_a803deb82ca6,28.72,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_b9ae21107fa4,15.93,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_da5df4899b60,43.34,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,individual_formulation,v2_e0e6b16a3f20,26.53,,,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,observed_viability,median_iqr,,36.07,28.1725,47.587500000000006,,,timeline,,,,,,,,,,,,,,,
ROUND_001,1.0,screening_only,reconstructed,prospective_performance,mae,,21.38945887553776,,,,,timeline,,,,,,,,,,,,,,,
