feature,importance
ethylene_glycol,1.0947328284135815
ectoin,0.7884013014231941
dmso,0.39765354022376176
fbs,0.17522079302486504
human_serum,0.14920576395865726
hsa,0.1271955894915633
proline,0.10541015844046708
glycerol,0.09038693534487086
pvp,0.08768714116829379
hes,0.07714537172395008
trehalose,0.07467344915290086
propylene_glycol,0.07218310792203686
sucrose,0.04800666526559838
peg_3350,0.040593094963845666
glucose,0.0355022684375178
hyaluronic_acid,0.020265060890359843
dextran,0.0031433019010229657
raffinose,0.0014790767904416802
betaine,0.0014461895399222602
creatine,0.001048504359584812
methylcellulose,0.0008062695371454653
