rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,methylcellulose_pct,dmso_M
1,83.81446108728056,76.59732645998031,14.434269254600522,0.0,4,0.3379476687702847,1.9136652819383595,6.627720302010422,0.1554824080224479,
2,83.46700601081517,76.38745064067663,14.159110740277082,0.11223371745206845,4,0.3446999913502917,1.9109934817542944,6.061683362005906,,0.01580149612149946
3,82.93780018669369,76.28497475526888,13.305650862849626,0.07812999999999999,4,0.2897,1.81,5.7,,0.011
4,82.83556528113903,75.8016524862424,14.067825589793253,0.19084370913044146,4,0.3411528412114022,1.8881900530643692,6.162819393254487,,0.02686907462479017
5,82.41974273275316,75.74430208719038,13.350881291125583,0.0,3,0.2848,1.81,4.9,,
6,82.39033389579276,75.73202253389637,13.316622723792797,0.14915727272727272,4,0.2911,1.79,5.4,,0.021
7,82.15873193095777,75.1655218730777,13.986420115760167,0.12619159178032954,4,0.3259292198227252,1.7072329636792385,9.216893050211427,,0.017766639057770706
8,82.13468959006103,75.1143671822831,14.040644815555844,0.2545544490914203,4,0.3372432061564095,1.857221241852166,6.448408395622076,,0.03583897273781676
9,81.65125080408332,74.78763516141015,13.72723128534633,0.20762910234844487,4,0.3034732038575784,1.6816751449759564,8.676054766149507,,0.029232306743029485
10,81.08053718381487,74.44732737672939,13.266419614170962,0.14915727272727272,4,0.2911,1.96,5.9,,0.021
11,81.13930395004593,74.42427427261231,13.43005935486724,0.0,3,0.3047,1.83,1.4,,
12,81.58974305664,74.30881380087808,14.561858511523841,0.1517819196201261,4,0.353701187222994,2.065873388050399,4.54955321994793,,0.021369526632809256
13,80.81511266193269,74.16227519136524,13.305674941134896,0.07812999999999999,4,0.2897,2.0,6.3,,0.011
14,80.87512370583849,74.15084511991188,13.448557171853235,0.05611154545454545,4,0.3171,1.73,2.3,,0.0079
15,80.66837500736139,73.83551605714842,13.66571790042593,0.05611154545454545,4,0.3171,2.11,2.8,,0.0079
16,80.52956415714276,73.83005016933075,13.399027975624014,0.07812999999999999,4,0.2897,1.63,5.1,,0.011
17,80.34837851493965,73.65237861157317,13.391999806732978,0.0,3,0.2848,2.01,5.4,,
18,80.25493624852155,73.58847734908117,13.332917798880738,0.21379209090909088,4,0.2858,1.9,4.6,,0.0301
19,80.62170418227699,73.32286733910294,14.597673686348093,0.2280281341492784,4,0.352920860628458,2.0680109452476585,4.053149269758451,,0.032104306612595196
20,79.38866723855635,72.67267269549723,13.43198908611826,0.27842690909090906,4,0.2866,1.9,4.5,,0.0392
