rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,hes_pct,human_serum_pct,ethylene_glycol_M,proline_M,creatine_M,dmso_M,propylene_glycol_M,sucrose_M,fbs_pct,peg_3350_pct,pvp_pct,ectoin_M,trehalose_M,dextran_pct
1,57.47178127446989,14.907121318803393,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,
2,54.240099351697836,27.812823449602487,0.0,2,,,0.47196701697378995,86.52749576778446,,,,,,,,,,,,
3,53.61941828575259,15.405403154181696,0.0,2,,,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,
4,51.70448671050933,26.567712346330374,4.852776432377494,2,,,,,,,1.3845385365700535,0.6832271951382624,,,,,,,,
5,51.69660197685007,17.117349837878212,0.0,2,,,,,,,,,2.4567001218060853,0.3991093505747292,,,,,,
6,51.46635176350655,16.039161423443538,0.0,2,1.8607624141879884,,,,,,,,,,36.763067803954364,,,,,
7,51.438058977249625,17.33228120051894,0.0,6,,1.7853290453971482,,,1.5282637926384668,0.14953215480442156,,,,,33.853257900944115,3.5916393863395313,7.177033617093369,,,
8,50.92035032160172,28.155645720413673,0.0,2,,,4.320247996337416,78.27917112125333,,,,,,,,,,,,
9,50.68148822022952,28.189958812938777,0.0,3,,,,,2.138017462545925,,,,,,,,8.35407830842126,0.30153215308525827,,
10,49.74163604129697,28.092217325590678,0.0,5,,3.3214641265493894,,,,,1.6552051036728976,,2.0937269725062304,0.2359060345950812,16.768879154470863,,,,,
11,49.70944464995317,28.204348209655123,0.0,2,,,,60.944658882522575,,0.15935132798069174,,,,,,,,,,
12,49.633123321695095,28.2057903240531,3.447058542152564,3,,,,53.84276374653468,0.1324469832564923,,,0.48531478258899535,,,,,,,,
13,49.588985658203306,28.177465373605123,0.4270151508136083,3,,,,,,,,0.060119885561880096,,,,,9.724613900279023,0.24250899376202062,,
14,49.55640472181777,24.99225001088735,2.1810438211131156,2,,,,,,,,0.30707131744841,,0.25625361419433546,,,,,,
15,49.492193706979286,28.192125274481032,0.0,4,2.279553984091857,,,,1.3011402303484576,,,,,0.03517463153159661,,,8.608108626867374,,,
16,49.42446263266358,28.19214906442081,0.0,4,,,1.8029546069678037,,,,,,0.9458885601567188,,,,8.429562282351153,,0.06289825760685919,
17,49.423508859118314,28.21168516399683,0.0,3,,,3.8863229039883898,67.20038683079733,,,,,,,,4.159896079752416,,,,
18,49.34493228507419,28.207270990233535,4.164279043089606,4,,0.4434686195360116,,32.090060131952065,,0.19637509176935497,,0.5862929665171595,,,,,,,,
19,49.33719893165719,28.210700902741845,0.0,4,,9.748346527811119,,,,,,,,,70.84139423414436,,,,0.27571985309555225,2.7561233867894543
20,49.30877414740705,28.211636208619094,0.0,2,,,,24.406000714008307,,,,,,0.5025296267016556,,,,,,
