rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,fbs_pct,peg_3350_pct,pvp_pct,creatine_M,dmso_M,hes_pct,human_serum_pct,raffinose_M,betaine_M,dextran_pct
1,56.912635919795534,13.588047345931075,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,
2,54.37049389298548,14.213333279052405,0.0,2,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,,,
3,52.21784438510255,16.229368713390233,0.0,2,,,,,2.4567001218060853,0.3991093505747292,,,,,,,,,,
4,51.05213711706523,14.824995293661607,0.0,2,1.8607624141879884,,,,,,36.763067803954364,,,,,,,,,
5,50.493908696007125,16.212370160937066,0.0,6,,1.7853290453971482,1.5282637926384668,0.14953215480442156,,,33.853257900944115,3.5916393863395313,7.177033617093369,,,,,,,
6,48.91223661513966,15.671080974616576,0.0,2,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,,,
7,47.45077903407277,23.720405538506693,4.852776432377494,2,,,,,,,,,,1.3845385365700535,0.6832271951382624,,,,,
8,45.27385530706942,23.63885772849693,0.0,2,,,,,,,,,,,,0.47196701697378995,86.52749576778446,,,
9,45.019614565532535,22.114564855263808,0.0,2,,,0.6291610876136768,,,,,,,,,,,0.42954912352067554,,
10,43.96388315693555,22.484435942391613,2.1810438211131156,2,,,,,,0.25625361419433546,,,,,0.30707131744841,,,,,
11,43.37083897487312,23.6826382355941,0.0,5,0.233320300674566,,,,1.945989035883029,0.5886889743360161,,,,,,,,,0.2666003321845201,1.0006467156653331
12,42.320385609947664,20.775055538471864,0.0,3,1.8266262755981153,4.652056122837181,,,,,,,,,,,,,0.030071171300392607,
13,41.9541062769733,24.041273518738766,0.0,2,,,,,,,,,,,,4.320247996337416,78.27917112125333,,,
14,41.427860671369885,24.054794523005693,0.0,3,0.7386698115668983,,,0.05823892483666854,,,,,,,,,,,,2.542612314448646
15,41.342924524391606,24.021489031404723,0.0,2,,,,,,,,,5.836561118508721,,,,,0.3533522280260528,,
16,40.84021718652181,24.08632736412512,4.454277674915733,6,0.8856783180430392,2.4153684170168175,,,,,,,1.0534548448133318,,0.6271221608098435,,,0.22236130474817029,,1.657481769652207
17,40.7779059714297,23.103790500726923,0.0,2,,,0.503653739482901,,,,,,,,,,,0.7626534899114843,,
18,40.74325792298306,22.47873393715902,0.0,5,,,0.18798211925439096,,0.3967567808958411,0.4123342156333225,,,,,,,,0.17603280108000074,0.3208716271125875,
19,40.74320060532474,24.098292561939683,0.0,2,,,,0.15935132798069174,,,,,,,,,60.944658882522575,,,
20,40.72042305783526,23.895041090832304,3.7269886957076976,4,0.7569190190435626,3.7895590981250757,,,1.1483650254320568,,,,,,0.5247264258643886,,,,,
