rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,pvp_pct,propylene_glycol_M,sucrose_M,betaine_M,human_serum_pct,dextran_pct,dmso_M,raffinose_M,hes_pct,peg_3350_pct,creatine_M
1,72.3161425817421,15.564978350875922,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,
2,67.3228788732316,15.27448264094356,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,
3,64.7730382923664,15.568917415041879,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,
4,61.962421567230514,15.511660785025528,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,
5,52.379287073457206,23.00086106126738,0.0,2,,,,,,0.010922277291172122,5.466907048506705,,,,,,,,,,
6,52.15719490557231,14.987493968733734,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,
7,51.60792547056886,16.468628576303644,0.0,3,,0.3625101908543915,,,,,,2.440388225313204,0.6072126026993657,,,,,,,,
8,50.21547565034566,27.09299585331127,0.0,2,,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,
9,50.01028874575648,25.95335061110968,0.0,4,0.04487391884419173,,34.44670672778847,,,,6.406707682356631,,,,,0.1749630162549587,,,,,
10,49.65370480251047,27.17828028623385,0.29074691751016907,5,,0.4734111191884635,27.532719876622593,,,,8.044403217904263,,,,,,0.04093454617447664,0.1964509333726201,,,
11,48.69597875423767,27.24879361104091,0.0,5,0.02623148140320558,1.5702063234570018,40.01358863002916,,,,6.188469022925339,1.0112356090716257,,,,,,,,,
12,48.68331731529388,27.017369330818386,0.36875529041479055,6,,,,,,0.11147335246676054,2.1058355362859924,0.9381621893389647,,,,,0.05191742217538329,,1.4753433905956326,1.3963688162782795,
13,48.4454237062117,27.186872384705687,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,,,,,0.13318992281528919,,,0.03427662704984398,,,,2.236002273870654
14,48.25393564433128,16.545181990360945,0.0,3,,,,,,,,1.6699315241731902,0.6118350545991809,,,2.367722614039034,,,,,
15,48.22123117836401,27.229622748183115,0.0,2,,1.0187002112928445,,,,,,2.3946808371041737,,,,,,,,,
16,48.031823103339974,27.259508856577764,0.0,4,,0.8650657100668679,,,,,9.304916218764344,,,,,,,0.05762338168416181,,,0.6582301793814394
17,47.8389963307851,27.265929330420292,0.0,2,,2.226624728511492,,,,,,,,,33.4544668109086,,,,,,
18,47.67423666638909,27.26667308281138,0.021964291540294542,3,,,,,,,9.222512703352146,,,,,,0.003092374336915909,,,,1.495639354918259
19,47.58329743130044,27.25669484988998,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,,26.213941563244536,,,,,,
20,47.570080424408346,27.065222363473314,0.0,4,,,,,7.0691957407922725,,,,,,10.820720356897263,0.8222885277766956,,,,0.9283920021116754,
