feature,importance
ethylene_glycol,0.8239520526983973
dmso,0.476031033394408
ectoin,0.4318882212222389
fbs,0.2526313577210899
hsa,0.1913090820455965
glycerol,0.1729670239074278
trehalose,0.14309296483676126
peg_3350,0.08242928718734988
proline,0.07722007699555933
human_serum,0.07288472953398561
hes,0.06036793700862886
hyaluronic_acid,0.054836535843646006
pvp,0.04673183515239654
glucose,0.043479594364879026
sucrose,0.03796276564847012
propylene_glycol,0.028457063845457986
methylcellulose,0.01172905967635507
creatine,0.0031671350510685814
betaine,0.0028167339695277516
raffinose,0.0025806820672651387
dextran,0.0018253090494271262
